"","dwc.scientificName","decimalLongitude","decimalLatitude","idigbio.isoCountryCode","dwc.individualCount","coreid","dwc.taxonRank","dwc.coordinateUncertaintyInMeters","year","dwc.basisOfRecord","dwc.institutionCode","species"
"312","leptodactylus pustulatus (peters, 1870)",-41.85,-5.1,NA,1,"4ce4c49c-c330-4789-b4cd-59a2b633be4c","species",111615,1865,"preservedspecimen","mcz","Leptodactylus_pustulatus"
"313","adenomera marmorata",-43.2333,-22.9333,NA,1,"fa72d272-749f-4e88-9976-09b232fd089c","species",4115,1965,"preservedspecimen","usnm","Adenomera_marmorata"
"314","leptodactylus ocellatus",-44.65,-22.82,NA,1,"3be7fc90-8471-43e9-aceb-53a1b3e9d7a7","species",NA,1976,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"315","leptodactylus notoaktites",-47.7,-21.6,NA,1,"e2da30f9-abb8-4385-9d20-28edd8346525","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_notoaktites"
"316","leptodactylus ocellatus",-61.37,-3.9,NA,1,"e20f8cff-a43b-4589-95d4-ea2278574683","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"317","leptodactylus knudseni",-56.6708,-1.1886,NA,1,"ef33659e-6bcf-4a62-b4b4-7684ac6e7d12","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_knudseni"
"318","adenomera marmorata",-54.83,-23.63,NA,1,"96c805a3-933a-41ba-b276-f6b28c13e23a","species",NA,1984,"preservedspecimen","usnm","Adenomera_marmorata"
"319","adenomera marmorata",-43.35,-22.9167,NA,1,"890e18d6-a025-4543-b7d5-d250564b0cde","species",8115,NA,"preservedspecimen","usnm","Adenomera_marmorata"
"320","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"ef52de67-603d-409a-b650-d96748f8ec97","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"321","leptodactylus fuscus",-45.83,-23.63,NA,1,"db51da9f-9b02-4cce-91ca-64c7a99dbdd5","species",NA,1976,"preservedspecimen","usnm","Leptodactylus_fuscus"
"322","leptodactylus labyrinthicus",-43.2333,-22.9,NA,1,"6c713d99-9ad6-45d1-b77a-7e766f0ebba0","species",15115,1925,"preservedspecimen","usnm","Leptodactylus_labyrinthicus"
"323","leptodactylus petersii",-56.6708,-1.1886,NA,1,"8b04cad2-a142-4ac8-bbf5-15d446d9e8d2","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_petersii"
"324","leptodactylus myersi",-60.92,2.42,NA,1,"cc874da7-841f-466f-8b5e-183de7e10ba7","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_myersi"
"325","leptodactylus ocellatus",-56.8,-17.3333,NA,1,"b8d5f374-9aed-4a2a-9ac0-7b5cbe59348b","species",10115,1985,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"326","adenomera marmorata",-45.83,-23.63,NA,1,"73c0e24e-6c7b-4ff7-b1f9-ccb4476ef668","species",NA,1986,"preservedspecimen","usnm","Adenomera_marmorata"
"327","leptodactylus discodactylus",-66.23,-3.28,NA,1,"ed56ac73-a64a-48eb-92ff-9c5ca23ab938","species",NA,1992,"preservedspecimen","usnm","Leptodactylus_discodactylus"
"328","adenomera marmorata",-45.83,-23.63,NA,1,"32de9381-fe07-46b0-9344-20ad4b4fba8e","species",NA,1976,"preservedspecimen","usnm","Adenomera_marmorata"
"329","leptodactylus fuscus",-47.7,-21.6,NA,1,"f591d9d3-9c05-410e-a2bd-79c5dc55bddb","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_fuscus"
"330","leptodactylus podicipinus",-52.35,-14.6667,NA,1,"5b6c3112-f20f-40cf-8359-dc9e8783de1d","species",367615,NA,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"331","leptodactylus fuscus",-63.13,-9.72,NA,1,"57f7e81a-a7aa-4338-bbe3-fa0fbe9cafa8","species",17615,1975,"preservedspecimen","usnm","Leptodactylus_fuscus"
"332","adenomera andreae",-56.6708,-1.1886,NA,1,"b344d9c6-1468-42c1-a487-5a6bdf2dd8cf","species",30740,1979,"preservedspecimen","usnm","Adenomera_andreae"
"333","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"73e8e8a3-e23c-4645-af0f-24646f709330","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"334","adenomera andreae",-61.7,-6.03,NA,1,"2ccdaaa1-4589-49b0-a206-d57df7c89f12","species",NA,1975,"preservedspecimen","usnm","Adenomera_andreae"
"335","leptodactylus furnarius",-44.75,-22.5667,NA,0,"2d7cdee8-8153-432a-803d-08352497de3a","species",28615,1930,"preservedspecimen","usnm","Leptodactylus_furnarius"
"336","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"6a2a84c8-5c17-4a30-8129-c773c4248972","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"337","leptodactylus leptodactyloides",-52.38,-3.65,NA,1,"eda874b3-975b-457f-a05a-8e619b02c4fb","species",NA,1986,"preservedspecimen","usnm","Leptodactylus_leptodactyloides"
"338","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"29c23234-8f59-442e-a51a-c62f5bf08a83","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"339","leptodactylus fuscus",-60,-3.07,NA,1,"c2351a80-77dd-45b7-b88d-6de01d7881fe","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_fuscus"
"340","leptodactylus ocellatus",-39.03333,-14.81667,NA,NA,"ade7d41a-091d-4c2e-b5ed-bfd2b7d03dfa","species",4615,1944,"preservedspecimen","cas","Leptodactylus_ocellatus"
"341","leptodactylus ocellatus (linnaeus, 1758)",-34.9,-8.05,NA,1,"e794f66e-c52d-4cbe-9776-e4e55341b40f","species",5115,NA,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"342","adenomera andreae",-54.03465,-2.43333,NA,NA,"d6849ae3-fb26-451d-8d4a-fbb65186cafb","species",NA,1970,"preservedspecimen","ku","Adenomera_andreae"
"343","leptodactylus ocellatus",-38.01667,-9.53333,NA,1,"d790d4d7-7120-4c70-86b4-7458a1cef8c6","species",3036,1994,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"344","leptodactylus mystacinus",-51.2,-30.03333,NA,NA,"fa81609b-ab8f-43d8-beb8-9fcf672da1c2","species",NA,1955,"preservedspecimen","ku","Leptodactylus_mystacinus"
"345","leptodactylus sibilatrix",-43.78333,-22.86667,NA,1,"aeae174e-b3bc-4981-9e60-a482a200da6c","species",752,1959,"preservedspecimen","mcz","Leptodactylus_sibilatrix"
"346","leptodactylus gracilis",-44.670831,-22.846132,NA,1,"007eab26-cbaa-4780-9848-d131aa7f373a","species",18294,NA,"preservedspecimen","ummz","Leptodactylus_gracilis"
"347","leptodactylus ocellatus",-46.6,-23.59,NA,1,"251f829e-eb2b-4d19-94fb-4b03e0d901e0","species",2500,1953,"preservedspecimen","cm","Leptodactylus_ocellatus"
"348","leptodactylus petersii",-48.4384,-1.45,NA,NA,"497396c0-e2f0-4df0-af37-0fa759951fe4","species",NA,1969,"preservedspecimen","ku","Leptodactylus_petersii"
"349","leptodactylus rhodomystax",-48.38690833,-1.425883333,NA,NA,"2046a32f-d4e3-4f27-891a-233f755d9eb7","species",NA,1940,"preservedspecimen","cas","Leptodactylus_rhodomystax"
"350","leptodactylus ocellatus",-46.72399,-23.563303,NA,1,"215862f7-0c2c-426a-ab12-ea1f5ba88347","species",2224,1961,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"351","cycloramphus neglectus lutz, 1928",-49.23333,-26.43333,NA,1,"72f2dd09-e362-4ed0-aaeb-16643d9856bc","species",53865,1918,"preservedspecimen","mcz","Cycloramphus_neglectus"
"352","physalaemus fuscomaculatus",-43.88333,-19.63333,NA,NA,"74c57a80-b620-4980-b405-ca9dd9857dda","species",7865,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"353","leptodactylus ocellatus",-44.997909,-12.142527,NA,2,"80f28668-0475-4ceb-b81a-31c2cbec66eb","species",6102,1942,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"354","leptodactylus wagneri",-48.4384,-1.45,NA,NA,"831f2d48-b444-41ce-80f3-2be082c24dce","species",NA,1969,"preservedspecimen","ku","Leptodactylus_wagneri"
"355","leptodactylus macrosternum",-65.38333,-9.7,NA,NA,"84103e6d-c7c3-43f3-876c-59353a4517a0","species",NA,1962,"preservedspecimen","ku","Leptodactylus_macrosternum"
"356","leptodactylus gracilis",-50.26667,-29.9,NA,NA,"0872b2b5-1a6d-4f6f-8793-d1492cc70559","species",11115,1955,"preservedspecimen","cas","Leptodactylus_gracilis"
"357","leptodactylus macrosternum",-60.63996,2.84353,NA,NA,"676e82b4-4a2f-4fa6-a9bb-8e89051ea8c1","species",6765,1993,"preservedspecimen","omnh","Leptodactylus_macrosternum"
"358","leptodactylus ocellatus",-58.4667,-15.85,NA,1,"71b6960f-4ab4-42ee-bbc3-7a2235ad2423","species",38240,1984,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"359","adenomera andreae",-56.6708,-1.1886,NA,1,"e85c4b57-4363-4663-88ad-01e3cec0a8e7","species",30740,1979,"preservedspecimen","usnm","Adenomera_andreae"
"360","leptodactylus wagneri",-72.670278,-7.631667,NA,NA,"32455c5c-cd1d-4bd6-83b0-1104e81298fa","species",NA,1981,"preservedspecimen","unicamp","Leptodactylus_wagneri"
"361","leptodactylus podicipinus",-48.371389,-24.097778,NA,1,"dd390b0c-afd0-4ff3-b45a-c92a3f30d19c","species",NA,2015,"preservedspecimen","unicamp","Leptodactylus_podicipinus"
"362","leptodactylus notoaktites",-50.580556,-23.162222,NA,1,"bae150d3-88ae-46a2-bf6e-f61802d2966e","species",NA,2010,"preservedspecimen","unicamp","Leptodactylus_notoaktites"
"363","adenomera juikitam",-46.418333,-10.547222,NA,1,"ff0fcc2e-9df9-4c34-bdbf-f123a6bd2eb1","",NA,2013,"preservedspecimen","unicamp","Adenomera_juikitam"
"364","leptodactylus ocellatus (linnaeus, 1758)",-54.033203,-12.499641,NA,1,"666e4f74-f00f-401a-9c0a-b4e682100852","species",2359900,NA,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"365","adenomera marmorata",-48.9333,-26.2,NA,1,"1a642a49-be4a-4c03-9b21-ac1096113b62","species",6115,1978,"preservedspecimen","usnm","Adenomera_marmorata"
"366","leptodactylus fuscus",-63.1333,-9.71667,NA,1,"c496a192-0503-4a83-a506-e05c08375acc","species",17615,1975,"preservedspecimen","usnm","Leptodactylus_fuscus"
"367","leptodactylus camaquara",-43.65,-19,NA,1,"8a4c61da-3771-4910-b01c-32bb04d06353","species",22615,1980,"preservedspecimen","usnm","Leptodactylus_camaquara"
"368","adenomera marmorata",-45.83,-23.63,NA,1,"23165353-f746-4a92-9444-7a9adc54580a","species",NA,1976,"preservedspecimen","usnm","Adenomera_marmorata"
"369","leptodactylus ocellatus",-58.4667,-15.85,NA,1,"ca624aca-0aa0-4d09-a189-7394c254d0ad","species",38240,1984,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"370","leptodactylus ocellatus",-56.8,-17.3333,NA,1,"678788dd-cff4-43bb-a82f-79a7f48acc38","species",10115,1985,"preservedspecimen","usnm","Leptodactylus_ocellatus"
