"","dwc.scientificName","decimalLongitude","decimalLatitude","idigbio.isoCountryCode","dwc.individualCount","coreid","dwc.taxonRank","dwc.coordinateUncertaintyInMeters","year","dwc.basisOfRecord","dwc.institutionCode","species"
"1642","leptodactylus validus",-61.73,3.75,NA,1,"e8a63819-4a36-4a57-837d-c1f60ffb477a","species",NA,1989,"preservedspecimen","usnm","Leptodactylus_validus"
"1643","leptodactylus vastus",-35.2167,-5.78333,NA,1,"b774a6c5-cb4f-4ef5-afe1-d397fd58fc41","species",4615,NA,"preservedspecimen","usnm","Leptodactylus_vastus"
"1644","leptodactylus ocellatus",-46.15,-23.85,NA,1,"3624c639-2392-432c-9a9c-9f538669ed29","species",11865,NA,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"1645","leptodactylus fuscus",-63.13,-9.72,NA,1,"32a433ae-8378-4d7c-990a-85d313840aa0","species",17615,1975,"preservedspecimen","usnm","Leptodactylus_fuscus"
"1646","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"38d05f1d-61c8-4909-823a-e7a5744817dd","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"1647","leptodactylus fuscus",-47.7347,-21.5725,NA,1,"1f100833-001f-4a6d-8345-f29e4009c9c9","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_fuscus"
"1648","leptodactylus notoaktites",-51.2,-30.0333,NA,1,"c2d4298e-63bc-4186-bb24-2bfe02bef887","species",10115,1956,"preservedspecimen","usnm","Leptodactylus_notoaktites"
"1649","leptodactylus fuscus",-61.73,3.75,NA,1,"d9c93e30-eb68-442d-bc34-b5a50442cbc6","species",NA,1989,"preservedspecimen","usnm","Leptodactylus_fuscus"
"1650","leptodactylus fuscus",-60.92,2.42,NA,1,"30dc675e-7b88-4c03-b944-678bba158364","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_fuscus"
"1651","leptodactylus ocellatus",-40.82,-19.53,NA,1,"0bb16dc8-e0d1-4192-aa59-546c50ffcd69","species",2250,NA,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"1652","leptodactylus discodactylus",-66.23,-3.28,NA,1,"7d15dcb3-2b97-46ee-8262-56e131195f42","species",NA,1992,"preservedspecimen","usnm","Leptodactylus_discodactylus"
"1653","adenomera bokermanni",-42.98,-22.43,NA,1,"2a5dacf9-adef-42f0-914f-179b6c244e77","species",6915,1935,"preservedspecimen","usnm","Adenomera_bokermanni"
"1654","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"b1f3b097-1d21-41ad-9f8f-b71d2e127706","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"1655","leptodactylus guianensis",-61.33,2.5,NA,1,"46984c20-26d9-4f63-b548-24171195e101","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_guianensis"
"1656","leptodactylus leptodactyloides",-61.37,-3.9,NA,1,"7aa1e1d1-3510-4146-9a42-5d8c46bfbec1","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_leptodactyloides"
"1657","leptodactylus leptodactyloides",-52.67,-3.9,NA,1,"44843533-1192-4c7d-843e-678d2d63348b","species",NA,1986,"preservedspecimen","usnm","Leptodactylus_leptodactyloides"
"1658","leptodactylus mystaceus",-55.78,-15.42,NA,1,"db67dc21-2e69-4155-a65e-903a52dc780a","species",NA,1996,"preservedspecimen","usnm","Leptodactylus_mystaceus"
"1659","adenomera marmorata",-45.83,-23.63,NA,1,"0c7be48d-2d28-4519-8ac6-284979b3cd1f","species",NA,1976,"preservedspecimen","usnm","Adenomera_marmorata"
"1660","leptodactylus notoaktites",-47.7,-21.6,NA,1,"c24227d1-72a6-4de1-8ee8-45420c52ec5e","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_notoaktites"
"1661","leptodactylus ocellatus",-43.9333,-19.9167,NA,1,"0f120b36-1357-4ad2-a614-ccf14d75da11","species",9115,NA,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"1662","adenomera hylaedactyla",-56.6708,-1.1886,NA,1,"305453c2-4368-42be-9b00-c9645855bcc3","species",30740,1979,"preservedspecimen","usnm","Adenomera_hylaedactyla"
"1663","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"bed481da-4e4f-4af8-9bd0-0fb035e2392e","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"1664","leptodactylus fuscus",-63.18339,-4.10944,NA,1,"b7468d93-25e5-4eb9-8b61-a54bf71b9997","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_fuscus"
"1665","leptodactylus fuscus",-61.18582,1.55,NA,NA,"9a3d3946-2efe-451f-9325-d25e641b565c","species",7875,1993,"preservedspecimen","omnh","Leptodactylus_fuscus"
"1666","leptodactylus leptodactyloides (andersson, 1945)",-66.56667,-2.46667,NA,1,"a0383517-c105-4b77-801f-b70764684113","species",87144,1976,"preservedspecimen","mcz","Leptodactylus_leptodactyloides"
"1667","leptodactylus macrosternum",-60.63996,2.84353,NA,NA,"c61e1ba6-3c67-4bd0-9dd3-d75248407da6","species",6765,1993,"preservedspecimen","omnh","Leptodactylus_macrosternum"
"1668","leptodactylus ocellatus (linnaeus, 1758)",-64.7,-3.36667,NA,1,"538bd6da-e1f5-40c5-9993-a25ecaae2059","species",2520,NA,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"1669","leptodactylus ocellatus",-44.53,-11,NA,1,"435b2e99-af9a-44f3-a008-c400a4747cd7","species",32615,1908,"preservedspecimen","cm","Leptodactylus_ocellatus"
"1670","leptodactylus ocellatus",-46.783333,-24.183333,NA,1,"181839bd-88b3-49a2-8447-e37b2c1b7417","species",3036,1961,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"1671","cycloramphus neglectus lutz, 1928",-49.23333,-26.43333,NA,1,"3db061bf-c37b-42b4-9163-5c09c03b7e3d","species",53865,1931,"preservedspecimen","mcz","Cycloramphus_neglectus"
"1672","leptodactylus pustulatus",-50.937,-14.1826,NA,NA,"d72aa5f7-6fe5-4471-94e4-e96a8e15a399","species",497657,1939,"preservedspecimen","cas","Leptodactylus_pustulatus"
"1673","leptodactylus ocellatus",-38.01667,-9.53333,NA,1,"fd7d2f4e-0d94-43da-acfa-b26a369872bb","species",3036,1994,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"1674","leptodactylus gracilis duméril and bibron, 1840",-52.69181,-32.95,NA,1,"fdd02d6f-bd3b-4f3a-8ec0-36ea60095e61","species",26518,1988,"preservedspecimen","mcz","Leptodactylus_gracilis"
"1675","leptodactylus ocellatus",-43.23,-22.9,NA,1,"de99b045-c47e-464b-a442-7ae8328cebf1","species",15115,1908,"preservedspecimen","cm","Leptodactylus_ocellatus"
"1676","leptodactylus fuscus",-61.2038,1.55,NA,NA,"e07db1d2-4162-4977-b568-c5235c25692c","species",6397,1993,"preservedspecimen","omnh","Leptodactylus_fuscus"
"1677","adenomera andreae",-52.05,0.98333,NA,1,"eb3ca665-e0cf-4b34-b309-78ccd7754eec","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"1678","adenomera andreae",-52.05,0.98333,NA,1,"ec5dc110-8c62-49ef-9b03-5d376e4b5cd5","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"1679","leptodactylus rhodomystax",-48.38690833,-1.425883333,NA,NA,"eeb047f5-e066-4e6f-bd6e-d089245223d6","species",NA,1940,"preservedspecimen","cas","Leptodactylus_rhodomystax"
"1680","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"043c0942-b6b9-420c-bfd9-332983d3beab","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"1681","leptodactylus rhodomystax",-52.05,0.98333,NA,NA,"9182233c-5975-4856-aa4f-18ad1d6b195d","species",NA,1957,"preservedspecimen","ku","Leptodactylus_rhodomystax"
"1682","leptodactylus ocellatus",-43.140079,-11.090703,NA,17,"298dbbdd-ad2c-47c5-b848-967e04238dc3","species",3036,1942,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"1683","leptodactylus petersii",-48.45637,-1.45,NA,NA,"79237414-5036-46b0-a3e6-479472d59840","species",NA,1969,"preservedspecimen","ku","Leptodactylus_petersii"
"1684","adenomera andreae",-48.4384,-1.45,NA,NA,"7f0ef3cc-ba2b-435c-9e6a-8e91e81f19ae","species",NA,1969,"preservedspecimen","ku","Adenomera_andreae"
"1685","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"472619ac-a512-4e0b-bed1-d44b618565a4","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"1686","adenomera andreae",-52.05,0.98333,NA,1,"5ab2cf6d-f21a-44f2-9511-967b10ba04aa","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"1687","leptodactylus latrans",-48.45637,-1.45,NA,NA,"5e5edfbb-c7f9-4f70-b543-4781e82ef3e7","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"1688","leptodactylus mystacinus",-47.545556,-22.396667,NA,NA,"75cef41f-da4c-46e3-838e-4536a44db65d","species",NA,2004,"preservedspecimen","unicamp","Leptodactylus_mystacinus"
"1689","leptodactylus mystacinus",-41.760111,-20.5815,NA,NA,"a394afec-9da6-4f8b-9a78-02c37912c837","species",NA,2018,"preservedspecimen","unicamp","Leptodactylus_mystacinus"
"1690","leptodactylus fuscus",-63.18339,-4.10944,NA,1,"a19929c1-ae41-4d64-8626-7c2fd298c526","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_fuscus"
"1691","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"de7f468f-38ff-41ee-8a4e-c8f189b19e7c","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"1692","cycloramphus neglectus lutz, 1928",-49.23333,-26.43333,NA,1,"e0f70145-ecae-49b8-b09a-272ba9474f14","species",53865,1918,"preservedspecimen","mcz","Cycloramphus_neglectus"
"1693","adenomera andreae",-48.4384,-1.45,NA,NA,"b9324427-b870-4d8e-a1eb-1f1c07857dbb","species",NA,1969,"preservedspecimen","ku","Adenomera_andreae"
"1694","hylodes pulcher",-44.56667,-22.5,NA,NA,"c7036fdc-3ba8-4384-bc5e-a376db8dbb14","",6115,1949,"preservedspecimen","cas","Hylodes_pulcher"
"1695","leptodactylus ocellatus",-35.25378889,-5.775980556,NA,NA,"ac837f1e-1602-4a13-b0fe-80be6561b596","species",NA,1911,"preservedspecimen","cas","Leptodactylus_ocellatus"
"1696","leptodactylus knudseni",-61.18582,1.55,NA,NA,"a090399f-258b-4537-9722-7af1ceac6713","species",7875,1993,"preservedspecimen","omnh","Leptodactylus_knudseni"
"1697","leptodactylus pustulatus",-50.937,-14.1826,NA,NA,"f18354b6-fc33-47bd-9da8-ac51349e2a50","species",497657,1939,"preservedspecimen","cas","Leptodactylus_pustulatus"
"1698","physalaemus fuscomaculatus",-51.2,-30.03,NA,1,"f1958ea8-0c07-421a-9aec-00e856fb8480","species",10115,1965,"preservedspecimen","cm","Physalaemus_fuscomaculatus"
"1699","leptodactylus pentadactylus labyrinthicus",-47.75,-19.73333,NA,1,"f36de417-983e-4996-9dac-f26bfb48b10c","species",11115,1905,"preservedspecimen","mcz","Leptodactylus_pentadactylus"
"1700","adenomera andreae",-52.05,0.98333,NA,1,"ec77f5f9-80f0-4caf-b1f2-919fa5c40acd","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"1701","leptodactylus rhodomystax",-48.4384,-1.45,NA,NA,"ed4827d9-16c6-4e84-b891-39ca4476538c","species",NA,1969,"preservedspecimen","ku","Leptodactylus_rhodomystax"
"1702","cycloramphus neglectus lutz, 1928",-49.23333,-26.43333,NA,1,"edc9482f-cac5-4512-a55c-a7045cee0b3f","species",53865,1873,"preservedspecimen","mcz","Cycloramphus_neglectus"
"1703","leptodactylus latrans",-48.45637,-1.45,NA,NA,"091b538e-7f5c-4198-b616-cfd8bf4f5ee6","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"1704","leptodactylus pentadactylus",-43.883333,-19.633333,NA,3,"5d2e460f-8146-4617-82f5-4f98407bd158","species",7100,1941,"preservedspecimen","ummz","Leptodactylus_pentadactylus"
"1705","adenomera hylaedactyla",-59.59361,-4.38889,NA,NA,"3088b931-ddba-4142-adab-7957ff2f8d78","species",3865,1943,"preservedspecimen","cas","Adenomera_hylaedactyla"
"1706","adenomera andreae (müller, 1923)",-55.63333,-4.06667,NA,1,"40b25bd4-aa38-45b1-afe5-d33d2fd1362d","species",4115,1973,"preservedspecimen","mcz","Adenomera_andreae"
"1707","leptodactylus ocellatus",-38.01667,-9.53333,NA,1,"43f6a9f7-ef78-453f-b751-26d3173a77f6","species",3036,1994,"preservedspecimen","ummz","Leptodactylus_ocellatus"
"1708","cycloramphus neglectus lutz, 1928",-49.23333,-26.43333,NA,1,"1bf57687-1280-431b-9724-4e1d4c298c17","species",53865,1931,"preservedspecimen","mcz","Cycloramphus_neglectus"
"1709","adenomera andreae",-52.05,0.98333,NA,1,"10fd710a-9a51-43bf-9f2a-d27ed146fa67","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"1710","leptodactylus fuscus",-61.17684,1.55,NA,NA,"1f63f29e-27ef-4e98-a1f3-d5f6e03115a0","species",8621,1993,"preservedspecimen","omnh","Leptodactylus_fuscus"
"1711","adenomera andreae",-48.4833,-1.45,NA,1,"22bbed6d-a720-4d6b-9cfb-97ae8eea2ba8","species",8212,1968,"preservedspecimen","lacm","Adenomera_andreae"
"1712","adenomera hylaedactyla",-48.4384,-1.45,NA,NA,"247a36ce-2a30-4e7f-83ef-bd10b1efbba6","species",NA,1969,"preservedspecimen","ku","Adenomera_hylaedactyla"
"1713","leptodactylus wagneri",-63.24,-12.69,NA,1,"9500816a-89c1-4cc3-a15c-98c84dc84b2c","species",98000,1909,"preservedspecimen","cm","Leptodactylus_wagneri"
"1714","leptodactylus ocellatus",-43.13,-11.09,NA,1,"95201a28-7602-46df-b27a-8834fe59ef81","species",3100,1907,"preservedspecimen","cm","Leptodactylus_ocellatus"
"1715","cyclorhamphus neglectus lutz, 1928",-49.23333,-26.43333,NA,1,"962ac711-2b67-45b8-be5a-ccb0cfe54f62","species",53865,NA,"preservedspecimen","mcz","Cyclorhamphus_neglectus"
"1716","physalaemus fuscomaculatus",-44.93333,-17.35,NA,NA,"13519674-94fb-4bfa-b6c1-84fcf4751e09","species",4115,1942,"preservedspecimen","cas","Physalaemus_fuscomaculatus"
"1717","adenomera andreae",-48.4384,-1.45,NA,NA,"148cc394-f926-41a2-b91d-42db8bda2b73","species",NA,1969,"preservedspecimen","ku","Adenomera_andreae"
"1718","leptodactylus wagneri",-63.9,-8.76,NA,1,"7adb9128-3d49-43ae-84bc-45fe304209a2","species",3615,1954,"preservedspecimen","cm","Leptodactylus_wagneri"
"1719","leptodactylus fuscus",-63.18339,-4.10944,NA,1,"7de5407a-bccd-4b98-a512-829de71adeaa","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_fuscus"
"1720","leptodactylus ocellatus",-47.55,-24.71,NA,1,"7f3b1414-9c47-4259-aec1-6e525febe4e4","species",6115,1908,"preservedspecimen","cm","Leptodactylus_ocellatus"
"1721","leptodactylus latrans",-48.45637,-1.45,NA,NA,"7f7a1f33-fc15-4cae-9806-dfb4d5ce4635","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"1722","leptodactylus podicipinus",-63.9,-8.76667,NA,NA,"8439d6a3-858b-4f78-a7ac-94a0503dd55e","species",NA,1962,"preservedspecimen","ku","Leptodactylus_podicipinus"
"1723","leptodactylus troglodytes",-37.95,-7.2,NA,NA,"8a94637d-cae7-474d-9d9d-d67156d35091","species",NA,1957,"preservedspecimen","ku","Leptodactylus_troglodytes"
"1724","leptodactylus ocellatus",-58.44693056,-3.144305556,NA,NA,"277ec882-edff-4cb6-a255-a2ccb59de4ff","species",NA,1911,"preservedspecimen","cas","Leptodactylus_ocellatus"
"1725","leptodactylus mystaceus",-52.38,-3.65,NA,1,"905b0f94-c173-42e9-ad4a-8c84817a593d","species",NA,1986,"preservedspecimen","usnm","Leptodactylus_mystaceus"
"1726","leptodactylus ocellatus",-52.38,-3.65,NA,1,"716b6e53-cfef-443c-b7e1-0912b4e8a2cb","species",NA,1986,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"1727","paratelmatobius lutzii",-44.73,-22.37,NA,1,"e0d816d6-b55c-4d35-ae86-307452825d73","species",NA,1976,"preservedspecimen","usnm","Paratelmatobius_lutzii"
"1728","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"dd7adda8-30a0-4dc2-b2a1-69eea0b63a59","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"1729","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"3638ff64-9dc0-4ff1-b38b-afe2ec6cc4c0","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"1730","leptodactylus ocellatus",-43.2333,-22.9,NA,1,"12c51210-98e8-4306-8553-6518deb0b5b2","species",15115,1925,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"1731","leptodactylus knudseni",-61.73,3.75,NA,24,"6ad1496c-5ade-4a31-9968-59caeb4804fb","species",NA,1989,"preservedspecimen","usnm","Leptodactylus_knudseni"
"1732","leptodactylus myersi",-60.92,2.42,NA,1,"c202b3a7-adfb-45dc-93bf-2765dfcacd41","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_myersi"
"1733","leptodactylus notoaktites",-47.7,-21.6,NA,1,"d2ad522d-e0f8-4db1-8abd-3bd04a6202fe","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_notoaktites"
"1734","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"4bb34b4a-36c0-4ee5-8d55-0beec16f63ec","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"1735","adenomera andreae",-64.6,-7.08,NA,1,"218321df-f6a6-470c-8995-d439a575b495","species",NA,1974,"preservedspecimen","usnm","Adenomera_andreae"
"1736","leptodactylus knudseni",-55.9833,-4.28333,NA,174,"745ce770-967e-462a-b04e-a07977ff8574","species",4865,1979,"preservedspecimen","usnm","Leptodactylus_knudseni"
"1737","leptodactylus myersi",-60.92,2.42,NA,1,"b497df5d-ec7e-419d-a843-1d3859bbafb8","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_myersi"
"1738","leptodactylus furnarius",-49.2667,-25.4833,NA,1,"359f3d13-f3e9-48ae-babc-2ca58220a19b","species",3615,1942,"preservedspecimen","usnm","Leptodactylus_furnarius"
"1739","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"0a272813-acbe-48c4-9184-6b8534c20eed","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"1740","leptodactylus longirostris",-55.9833,-4.28333,NA,1,"48fc34b5-b778-472d-af63-ced3ccab700f","species",4865,1981,"preservedspecimen","usnm","Leptodactylus_longirostris"
"1741","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"68315e66-18f5-4e51-90fa-1fba8356a12d","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"1742","leptodactylus podicipinus",-61.7,-6.03,NA,1,"1af4162e-1ed3-40ed-82f3-550182c0d9ab","species",NA,1975,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"1743","leptodactylus cunicularius",-43.65,-19,NA,1,"ae585aa9-1650-4489-8722-79b91ae13c78","species",22615,1980,"preservedspecimen","usnm","Leptodactylus_cunicularius"
"1744","adenomera andreae",-56.6708,-1.1886,NA,1,"e7251d4e-0aea-444d-a552-cf30f8199885","species",30740,1979,"preservedspecimen","usnm","Adenomera_andreae"
"1745","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"89838cfe-54a7-4045-b169-a06b5d6e1ccf","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"1746","adenomera andreae",-63,-7.4,NA,1,"a6c8cef6-de00-4d81-8e49-5c5a821800d6","species",NA,1975,"preservedspecimen","usnm","Adenomera_andreae"
"1747","leptodactylus fuscus",-45.83,-23.63,NA,1,"b4cd73e8-6300-470e-98db-d3344ceb15d9","species",NA,1976,"preservedspecimen","usnm","Leptodactylus_fuscus"
"1748","leptodactylus fuscus",-56.6944,-20.1319,NA,1,"74a5b32d-03f4-427e-a05b-0c494d8a82b6","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_fuscus"
"1749","adenomera hylaedactyla",-69.913333,-4.229444,NA,NA,"2570eb61-25ab-43bb-a55a-8b16db73bbe6","species",NA,2016,"preservedspecimen","unicamp","Adenomera_hylaedactyla"
"1750","adenomera andreae",-56.25,-4.62,NA,1,"5deeffe5-3226-4ef0-94a8-504eb16c9120","species",NA,1981,"preservedspecimen","usnm","Adenomera_andreae"
"1751","adenomera andreae",-56.25,-4.62,NA,1,"2b7de15d-c49c-402c-9e76-5891f3f21b55","species",NA,1981,"preservedspecimen","usnm","Adenomera_andreae"
"1752","leptodactylus petersii",-56.6708,-1.1886,NA,1,"e3222b1d-8030-4a31-af0b-c48ba3b84229","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_petersii"
"1753","leptodactylus podicipinus",-56.6944,-20.1319,NA,1,"d5c6a9bf-aa22-4e44-9511-9937130a7194","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"1754","leptodactylus natalensis",-37.07,-10.92,NA,1,"e02979b8-772d-4c5d-b011-de0edc732778","species",NA,1999,"preservedspecimen","usnm","Leptodactylus_natalensis"
"1755","leptodactylus ocellatus",-43.9333,-19.9167,NA,1,"686bc728-6544-40d9-9e68-39ef0ca9a033","species",9115,NA,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"1756","leptodactylus petersii",-56.6708,-1.1886,NA,1,"5e88e227-3dc6-476e-beec-6ec37eec48b0","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_petersii"
"1757","leptodactylus chaquensis",-56.6944,-20.1319,NA,1,"db042a40-ea75-48a1-9e33-7c4b25497583","species",NA,1987,"preservedspecimen","usnm","Leptodactylus_chaquensis"
"1758","leptodactylus leptodactyloides",-63.4833,-8.45,NA,1,"e1debfc8-5637-424d-9b25-eb46422cde88","species",17615,1975,"preservedspecimen","usnm","Leptodactylus_leptodactyloides"
"1759","lithodytes lineatus",-63.03,-5.77,NA,1,"41df5cec-60e8-4ecd-8f2c-31fd6fce0084","species",NA,1975,"preservedspecimen","usnm","Lithodytes_lineatus"
"1760","adenomera marmorata",-45.83,-23.63,NA,1,"3f74c6be-25f3-41e1-9830-fa1f6a013df6","species",NA,1975,"preservedspecimen","usnm","Adenomera_marmorata"
"1761","leptodactylus ocellatus",-44.5667,-17.9,NA,1,"9d381a06-7aff-4051-af50-86b87b735d6b","species",19490,NA,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"1762","leptodactylus notoaktites",-48.9394,-25.4,NA,1,"2681ac9c-3963-479a-a9e6-c3a1672bd1d0","species",12828,1978,"preservedspecimen","usnm","Leptodactylus_notoaktites"
"1763","leptodactylus cunicularius",-43.65,-19,NA,1,"16862567-ad9c-4351-98d9-a548119822e0","species",22615,1980,"preservedspecimen","usnm","Leptodactylus_cunicularius"
"1764","adenomera marmorata",-45.83,-23.63,NA,1,"8aff8d4e-241b-4d1a-932a-3222246776ce","species",NA,1976,"preservedspecimen","usnm","Adenomera_marmorata"
"1765","leptodactylus fuscus",-56.6944,-20.1319,NA,1,"6053a4e6-c894-4abb-a858-78fc89ed1af3","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_fuscus"
"1766","leptodactylus podicipinus",-58.4667,-15.85,NA,1,"2740254c-ebbb-4649-948f-f14f9a7addc2","species",38240,1984,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"1767","leptodactylus knudseni",-56.6708,-1.1886,NA,7,"fb493ed3-baaa-4fbc-ae07-48b4db0ab4a8","species",30740,1979,"preservedspecimen","usnm","Leptodactylus_knudseni"
"1768","leptodactylus podicipinus",-52.35,-14.6667,NA,1,"7a33d4c5-1b7e-445b-ae11-9bf638ec7af9","species",367615,NA,"preservedspecimen","usnm","Leptodactylus_podicipinus"
"1769","leptodactylus ocellatus",-43.2333,-22.9,NA,1,"feaa1f90-ccd3-4fcb-b715-f99d5bd0b08c","species",15115,1925,"preservedspecimen","usnm","Leptodactylus_ocellatus"
"1770","leptodactylus gracilis",-48.7667,-27.6833,NA,1,"90b53078-2d27-4b93-8fe6-cc01a7e8c00d","species",27615,1979,"preservedspecimen","usnm","Leptodactylus_gracilis"
"1771","leptodactylus natalensis",-37.07,-10.92,NA,1,"4914e5e4-eb4b-4770-a1b5-f170d07577af","species",NA,1999,"preservedspecimen","usnm","Leptodactylus_natalensis"
"1772","adenomera marmorata",-45.83,-23.63,NA,1,"3e629143-46eb-4443-95b8-fc360a694039","species",NA,1975,"preservedspecimen","usnm","Adenomera_marmorata"
"1773","leptodactylus labyrinthicus",-47.7,-21.6,NA,1,"b36aea9a-8803-4014-bf80-d31ee0cb1334","species",NA,1988,"preservedspecimen","usnm","Leptodactylus_labyrinthicus"
"1774","leptodactylus knudseni",-55.9833,-4.28333,NA,1,"b0a15beb-a79e-4cda-816f-589324149976","species",4865,1979,"preservedspecimen","usnm","Leptodactylus_knudseni"
"1775","leptodactylus troglodytes",-37.07,-10.92,NA,1,"b373e828-3940-4f48-863a-b561c22afdca","species",NA,1999,"preservedspecimen","usnm","Leptodactylus_troglodytes"
"1776","adenomera marmorata",-47.21667,-23.65,NA,NA,"b9845593-b00f-458e-ae08-e3fe00df147f","species",NA,1962,"preservedspecimen","ku","Adenomera_marmorata"
"1777","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"ba8bcca3-5a63-4ee5-88af-99e854a54c36","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"1778","adenomera hylaedactyla",-59.59361,-4.38889,NA,NA,"d014be90-cdbc-4368-8305-41100d76a998","species",3865,1943,"preservedspecimen","cas","Adenomera_hylaedactyla"
"1779","leptodactylus latinasus",-49.73333,-29.35,NA,NA,"d2f9412f-7724-4feb-902e-15205c107024","species",9865,1957,"preservedspecimen","cas","Leptodactylus_latinasus"
"1780","leptodactylus wagneri",-63.24,-12.69,NA,1,"d3a0e880-979e-4c6c-8d66-d3214c89f063","species",98000,1909,"preservedspecimen","cm","Leptodactylus_wagneri"
"1781","adenomera andreae",-52.05,0.98333,NA,1,"c28b0ddc-9050-4cb9-91f4-3143ef878fc6","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"1782","leptodactylus ocellatus (linnaeus, 1758)",-63.18339,-4.10944,NA,1,"c5de7715-ad05-4e08-ae77-8f3a87243091","species",18365,1973,"preservedspecimen","mcz","Leptodactylus_ocellatus"
"1783","leptodactylus latrans",-48.45637,-1.45,NA,NA,"335ff490-3563-4785-b5ab-3431947dfe88","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"1784","adenomera andreae",-52.05,0.98333,NA,1,"c11143e6-46ca-4417-8f1e-6df72c1ae955","species",25865,1968,"preservedspecimen","lacm","Adenomera_andreae"
"1785","leptodactylus fuscus",-63.9,-8.76,NA,1,"9437f195-2d21-4a28-bd24-df461ce287df","species",3615,1954,"preservedspecimen","cm","Leptodactylus_fuscus"
"1786","leptodactylus latrans",-48.45637,-1.45,NA,NA,"9476fd1d-1c7d-4efb-b703-cd8b313cd83b","species",NA,1970,"preservedspecimen","ku","Leptodactylus_latrans"
"1787","leptodactylus elenae",-57.65,-19.01,NA,1,"e3d567cb-d2ae-4f0c-ad56-358ff9afaed1","species",5865,1954,"preservedspecimen","cm","Leptodactylus_elenae"
